,track_uri,track_name,track_pop,artist_uri,artist_info,artist_name,artist_pop,artist_genres,album_name
10,3iVPKtYKLeW3PgI2w0fHM1,Don't Lose Your Faith,0,spotify:artist:1NPkkY0RutjrXakIihpIiS,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1NPkkY0RutjrXakIihpIiS'}, 'followers': {'href': None, 'total': 19980}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/1NPkkY0RutjrXakIihpIiS', 'id': '1NPkkY0RutjrXakIihpIiS', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb31dc5d89eb29973ecb3e230d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517431dc5d89eb29973ecb3e230d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17831dc5d89eb29973ecb3e230d', 'width': 160}], 'name': 'William Bolton', 'popularity': 42, 'type': 'artist', 'uri': 'spotify:artist:1NPkkY0RutjrXakIihpIiS'}",William Bolton,42,[],Don't Lose Your Faith
11,6cvRSOoJKvQwS0oDt0TePP,Sex n' Drugs,30,spotify:artist:1gUi2utSbJLNPddYENJAp4,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1gUi2utSbJLNPddYENJAp4'}, 'followers': {'href': None, 'total': 126985}, 'genres': ['desi hip hop', 'indie r&b', 'pop rap'], 'href': 'https://api.spotify.com/v1/artists/1gUi2utSbJLNPddYENJAp4', 'id': '1gUi2utSbJLNPddYENJAp4', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8c03e520a6a88d30ff858709', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748c03e520a6a88d30ff858709', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788c03e520a6a88d30ff858709', 'width': 160}], 'name': 'Abhi The Nomad', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:1gUi2utSbJLNPddYENJAp4'}",Abhi The Nomad,58,"['desi hip hop', 'indie r&b', 'pop rap']",Sex n' Drugs
12,5KPPPyaYNsSlrl1rNIswvG,All for You (feat. Sara Kays),0,spotify:artist:5vGXVYudNgm9E7jhXMM0Ro,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5vGXVYudNgm9E7jhXMM0Ro'}, 'followers': {'href': None, 'total': 110447}, 'genres': ['indiana hip hop', 'indie pop rap', 'pop', 'pop rap'], 'href': 'https://api.spotify.com/v1/artists/5vGXVYudNgm9E7jhXMM0Ro', 'id': '5vGXVYudNgm9E7jhXMM0Ro', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd6eabb03c164a98cd19876d9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d6eabb03c164a98cd19876d9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d6eabb03c164a98cd19876d9', 'width': 160}], 'name': 'Kid Quill', 'popularity': 51, 'type': 'artist', 'uri': 'spotify:artist:5vGXVYudNgm9E7jhXMM0Ro'}",Kid Quill,51,"['indiana hip hop', 'indie pop rap', 'pop', 'pop rap']",The Name Above the Title
13,5w2hugkhRjehQjSuDl9ulH,Rainbows,36,spotify:artist:6chWbUfdu6ibyaCXM1w8kQ,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6chWbUfdu6ibyaCXM1w8kQ'}, 'followers': {'href': None, 'total': 155765}, 'genres': ['lo-fi rap'], 'href': 'https://api.spotify.com/v1/artists/6chWbUfdu6ibyaCXM1w8kQ', 'id': '6chWbUfdu6ibyaCXM1w8kQ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb354d3b6bacb847ae6325e9b5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174354d3b6bacb847ae6325e9b5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178354d3b6bacb847ae6325e9b5', 'width': 160}], 'name': 'Forrest.', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:6chWbUfdu6ibyaCXM1w8kQ'}",Forrest.,58,['lo-fi rap'],Warm
14,6T10buITypvNM3WXMVDT7p,Txt Me,27,spotify:artist:4T8NIfZmVY6TJFqVzN6X49,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4T8NIfZmVY6TJFqVzN6X49'}, 'followers': {'href': None, 'total': 372973}, 'genres': ['chicago rap', 'pop'], 'href': 'https://api.spotify.com/v1/artists/4T8NIfZmVY6TJFqVzN6X49', 'id': '4T8NIfZmVY6TJFqVzN6X49', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb58d6063c0cb00aafe248a58', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b58d6063c0cb00aafe248a58', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b58d6063c0cb00aafe248a58', 'width': 160}], 'name': 'tobi lou', 'popularity': 64, 'type': 'artist', 'uri': 'spotify:artist:4T8NIfZmVY6TJFqVzN6X49'}",tobi lou,64,"['chicago rap', 'pop']",Txt Me
15,5uMyjSSewg4B9DLXkEHNCo,Over You,8,spotify:artist:1NPkkY0RutjrXakIihpIiS,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1NPkkY0RutjrXakIihpIiS'}, 'followers': {'href': None, 'total': 19980}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/1NPkkY0RutjrXakIihpIiS', 'id': '1NPkkY0RutjrXakIihpIiS', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb31dc5d89eb29973ecb3e230d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517431dc5d89eb29973ecb3e230d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17831dc5d89eb29973ecb3e230d', 'width': 160}], 'name': 'William Bolton', 'popularity': 42, 'type': 'artist', 'uri': 'spotify:artist:1NPkkY0RutjrXakIihpIiS'}",William Bolton,42,[],Anti Love Love Songs
16,2Cien9M0slpqsN7sXoSckm,SANTA MONICA,0,spotify:artist:3hOdow4ZPmrby7Q1wfPLEy,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3hOdow4ZPmrby7Q1wfPLEy'}, 'followers': {'href': None, 'total': 324457}, 'genres': ['pop', 'pop rap', 'sad rap'], 'href': 'https://api.spotify.com/v1/artists/3hOdow4ZPmrby7Q1wfPLEy', 'id': '3hOdow4ZPmrby7Q1wfPLEy', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8f043df9a877a61c78f4c480', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748f043df9a877a61c78f4c480', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788f043df9a877a61c78f4c480', 'width': 160}], 'name': 'Aries', 'popularity': 63, 'type': 'artist', 'uri': 'spotify:artist:3hOdow4ZPmrby7Q1wfPLEy'}",Aries,63,"['pop', 'pop rap', 'sad rap']",SANTA MONICA
17,4uffv27GFjcAN0ahI2Eh3K,Kids in the Summer,0,spotify:artist:5vGXVYudNgm9E7jhXMM0Ro,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5vGXVYudNgm9E7jhXMM0Ro'}, 'followers': {'href': None, 'total': 110447}, 'genres': ['indiana hip hop', 'indie pop rap', 'pop', 'pop rap'], 'href': 'https://api.spotify.com/v1/artists/5vGXVYudNgm9E7jhXMM0Ro', 'id': '5vGXVYudNgm9E7jhXMM0Ro', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd6eabb03c164a98cd19876d9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d6eabb03c164a98cd19876d9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d6eabb03c164a98cd19876d9', 'width': 160}], 'name': 'Kid Quill', 'popularity': 51, 'type': 'artist', 'uri': 'spotify:artist:5vGXVYudNgm9E7jhXMM0Ro'}",Kid Quill,51,"['indiana hip hop', 'indie pop rap', 'pop', 'pop rap']",Kids in the Summer
18,4YNzfDzv8JCK9JLK299efl,LOCK,11,spotify:artist:1gUi2utSbJLNPddYENJAp4,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1gUi2utSbJLNPddYENJAp4'}, 'followers': {'href': None, 'total': 126985}, 'genres': ['desi hip hop', 'indie r&b', 'pop rap'], 'href': 'https://api.spotify.com/v1/artists/1gUi2utSbJLNPddYENJAp4', 'id': '1gUi2utSbJLNPddYENJAp4', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8c03e520a6a88d30ff858709', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748c03e520a6a88d30ff858709', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788c03e520a6a88d30ff858709', 'width': 160}], 'name': 'Abhi The Nomad', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:1gUi2utSbJLNPddYENJAp4'}",Abhi The Nomad,58,"['desi hip hop', 'indie r&b', 'pop rap']",LOCK
19,3CM9A4BxQa0WjAOleeyvoh,Fuck U,22,spotify:artist:2BqGcPMYKUBDhza7h0fqFq,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2BqGcPMYKUBDhza7h0fqFq'}, 'followers': {'href': None, 'total': 16220}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/2BqGcPMYKUBDhza7h0fqFq', 'id': '2BqGcPMYKUBDhza7h0fqFq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1413b726aaf963b0932d472e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741413b726aaf963b0932d472e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781413b726aaf963b0932d472e', 'width': 160}], 'name': 'NVTHVN', 'popularity': 40, 'type': 'artist', 'uri': 'spotify:artist:2BqGcPMYKUBDhza7h0fqFq'}",NVTHVN,40,[],Fuck U
