,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_uri,track_href,analysis_url,duration_ms,time_signature
245,0.722,0.549,1,-4.811,1,0.116,0.545,0.0,0.123,0.839,173.338,audio_features,1EaUQN6v4YzOPyDmIXuOjk,1EaUQN6v4YzOPyDmIXuOjk,https://api.spotify.com/v1/tracks/1EaUQN6v4YzOPyDmIXuOjk,https://api.spotify.com/v1/audio-analysis/1EaUQN6v4YzOPyDmIXuOjk,201757,4
246,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,audio_features,54bFM56PmE4YLRnqpW6Tha,54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/tracks/54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/audio-analysis/54bFM56PmE4YLRnqpW6Tha,174321,4
247,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,audio_features,1ZMiCix7XSAbfAJlEZWMCp,1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/tracks/1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/audio-analysis/1ZMiCix7XSAbfAJlEZWMCp,240133,4
248,0.446,0.409,9,-4.812,1,0.0543,0.766,0.0,0.0891,0.349,80.67,audio_features,3Lr7NDSn4xKGa1dzMdGkBj,3Lr7NDSn4xKGa1dzMdGkBj,https://api.spotify.com/v1/tracks/3Lr7NDSn4xKGa1dzMdGkBj,https://api.spotify.com/v1/audio-analysis/3Lr7NDSn4xKGa1dzMdGkBj,184833,5
249,0.553,0.491,9,-7.467,1,0.388,0.642,0.0,0.0733,0.762,79.0,audio_features,6Quu3PRWFZNE297wRNgsmn,6Quu3PRWFZNE297wRNgsmn,https://api.spotify.com/v1/tracks/6Quu3PRWFZNE297wRNgsmn,https://api.spotify.com/v1/audio-analysis/6Quu3PRWFZNE297wRNgsmn,177237,4
250,0.78,0.243,3,-15.449,1,0.0695,0.722,0.0,0.0906,0.708,134.025,audio_features,1JDZfaT56apWfXlHrAARx0,1JDZfaT56apWfXlHrAARx0,https://api.spotify.com/v1/tracks/1JDZfaT56apWfXlHrAARx0,https://api.spotify.com/v1/audio-analysis/1JDZfaT56apWfXlHrAARx0,136119,4
251,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,audio_features,6U0FIYXCQ3TGrk4tFpLrEA,6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/tracks/6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/audio-analysis/6U0FIYXCQ3TGrk4tFpLrEA,204533,4
252,0.651,0.233,9,-11.478,1,0.0386,0.8,0.0,0.395,0.635,79.028,audio_features,62JPi629msUv8wotWAChOY,62JPi629msUv8wotWAChOY,https://api.spotify.com/v1/tracks/62JPi629msUv8wotWAChOY,https://api.spotify.com/v1/audio-analysis/62JPi629msUv8wotWAChOY,200506,4
253,0.397,0.529,5,-5.881,0,0.0435,0.845,0.0,0.266,0.333,137.606,audio_features,2d1BUJA9d877mVrcP1X7SV,2d1BUJA9d877mVrcP1X7SV,https://api.spotify.com/v1/tracks/2d1BUJA9d877mVrcP1X7SV,https://api.spotify.com/v1/audio-analysis/2d1BUJA9d877mVrcP1X7SV,203827,4
254,0.455,0.677,0,-7.719,1,0.0751,0.593,0.0,0.0899,0.248,169.919,audio_features,3c7peg169veVaJRzlbCaKw,3c7peg169veVaJRzlbCaKw,https://api.spotify.com/v1/tracks/3c7peg169veVaJRzlbCaKw,https://api.spotify.com/v1/audio-analysis/3c7peg169veVaJRzlbCaKw,224995,4
255,0.77,0.442,1,-8.033,1,0.164,0.489,0.0,0.0974,0.392,131.988,audio_features,4uMvvCwqs046uxyJiFJTT1,4uMvvCwqs046uxyJiFJTT1,https://api.spotify.com/v1/tracks/4uMvvCwqs046uxyJiFJTT1,https://api.spotify.com/v1/audio-analysis/4uMvvCwqs046uxyJiFJTT1,242400,3
256,0.921,0.641,1,-6.491,1,0.166,0.0274,0.0,0.0645,0.828,144.986,audio_features,2OPxM2L3KtuehqY24vTMGs,2OPxM2L3KtuehqY24vTMGs,https://api.spotify.com/v1/tracks/2OPxM2L3KtuehqY24vTMGs,https://api.spotify.com/v1/audio-analysis/2OPxM2L3KtuehqY24vTMGs,203840,4
257,0.566,0.586,11,-7.726,1,0.0372,0.0171,0.0,0.202,0.428,147.942,audio_features,1V42fcah79WPoTf4ilyIq5,1V42fcah79WPoTf4ilyIq5,https://api.spotify.com/v1/tracks/1V42fcah79WPoTf4ilyIq5,https://api.spotify.com/v1/audio-analysis/1V42fcah79WPoTf4ilyIq5,203853,4
258,0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,audio_features,6qBFSepqLCuh5tehehc1bd,6qBFSepqLCuh5tehehc1bd,https://api.spotify.com/v1/tracks/6qBFSepqLCuh5tehehc1bd,https://api.spotify.com/v1/audio-analysis/6qBFSepqLCuh5tehehc1bd,260776,3
259,0.683,0.53,5,-4.918,0,0.142,0.207,0.0,0.394,0.645,75.016,audio_features,7F9vK8hNFMml4GtHsaXui6,7F9vK8hNFMml4GtHsaXui6,https://api.spotify.com/v1/tracks/7F9vK8hNFMml4GtHsaXui6,https://api.spotify.com/v1/audio-analysis/7F9vK8hNFMml4GtHsaXui6,190428,4
